"county"	"tract"	"state"	"placefp"	"stab"	"cntyname"	"placenm"	"pop10"	"afact"
"county"	"2010 Tract"	"FIPS state"	"placefp"	"State Postal Code"	"cntyname"	"Place Name"	"Total Pop, 2010 census"	"tract to placefp alloc factor"
"06001"	"4286.00"	"06"	"00562"	"CA"	"Alameda CA"	"Alameda city, CA"	3271	1 
"06001"	"4287.00"	"06"	"00562"	"CA"	"Alameda CA"	"Alameda city, CA"	4119	1 
"06001"	"4301.01"	"06"	"11964"	"CA"	"Alameda CA"	"Castro Valley CDP, CA"	6442	0.988 
"06001"	"4301.01"	"06"	"99999"	"CA"	"Alameda CA"	" "	81	0.012 
"06001"	"4301.02"	"06"	"11964"	"CA"	"Alameda CA"	"Castro Valley CDP, CA"	1976	0.865 
"06001"	"4301.02"	"06"	"99999"	"CA"	"Alameda CA"	" "	309	0.135 
"06001"	"4302.00"	"06"	"11964"	"CA"	"Alameda CA"	"Castro Valley CDP, CA"	6916	1 
"06001"	"4303.00"	"06"	"11964"	"CA"	"Alameda CA"	"Castro Valley CDP, CA"	3670	1 
"06001"	"4304.00"	"06"	"11964"	"CA"	"Alameda CA"	"Castro Valley CDP, CA"	2046	1 
"06001"	"4305.00"	"06"	"11964"	"CA"	"Alameda CA"	"Castro Valley CDP, CA"	6049	1 
"06001"	"4306.00"	"06"	"11964"	"CA"	"Alameda CA"	"Castro Valley CDP, CA"	5887	1 
"06001"	"4307.00"	"06"	"11964"	"CA"	"Alameda CA"	"Castro Valley CDP, CA"	3814	1 
"06001"	"4308.00"	"06"	"11964"	"CA"	"Alameda CA"	"Castro Valley CDP, CA"	5394	1 
"06001"	"4309.00"	"06"	"11964"	"CA"	"Alameda CA"	"Castro Valley CDP, CA"	4681	1 
"06001"	"4310.00"	"06"	"11964"	"CA"	"Alameda CA"	"Castro Valley CDP, CA"	2714	1 
"06001"	"4311.00"	"06"	"11964"	"CA"	"Alameda CA"	"Castro Valley CDP, CA"	3225	1 
"06001"	"4312.00"	"06"	"11964"	"CA"	"Alameda CA"	"Castro Valley CDP, CA"	3751	0.667 
"06001"	"4312.00"	"06"	"33000"	"CA"	"Alameda CA"	"Hayward city, CA"	1876	0.333 
"06001"	"4321.00"	"06"	"68084"	"CA"	"Alameda CA"	"San Leandro city, CA"	3770	1 
"06001"	"4322.00"	"06"	"68084"	"CA"	"Alameda CA"	"San Leandro city, CA"	4080	1 
"06001"	"4323.00"	"06"	"68084"	"CA"	"Alameda CA"	"San Leandro city, CA"	4656	1 
"06001"	"4324.00"	"06"	"68084"	"CA"	"Alameda CA"	"San Leandro city, CA"	5814	1 
"06001"	"4325.01"	"06"	"68084"	"CA"	"Alameda CA"	"San Leandro city, CA"	4839	1 
"06001"	"4325.02"	"06"	"68084"	"CA"	"Alameda CA"	"San Leandro city, CA"	4485	1 
"06001"	"4326.00"	"06"	"68084"	"CA"	"Alameda CA"	"San Leandro city, CA"	6842	1 
"06001"	"4327.00"	"06"	"68084"	"CA"	"Alameda CA"	"San Leandro city, CA"	2478	1 
"06001"	"4328.00"	"06"	"11964"	"CA"	"Alameda CA"	"Castro Valley CDP, CA"	1338	0.359 
"06001"	"4328.00"	"06"	"68084"	"CA"	"Alameda CA"	"San Leandro city, CA"	2391	0.641 
"06001"	"4330.00"	"06"	"68084"	"CA"	"Alameda CA"	"San Leandro city, CA"	3832	1 
"06001"	"4331.02"	"06"	"68084"	"CA"	"Alameda CA"	"San Leandro city, CA"	3989	1 
"06001"	"4331.03"	"06"	"68084"	"CA"	"Alameda CA"	"San Leandro city, CA"	3530	1 
"06001"	"4331.04"	"06"	"68084"	"CA"	"Alameda CA"	"San Leandro city, CA"	3760	1 
"06001"	"4332.00"	"06"	"68084"	"CA"	"Alameda CA"	"San Leandro city, CA"	6897	1 
"06001"	"4333.00"	"06"	"68084"	"CA"	"Alameda CA"	"San Leandro city, CA"	6834	1 
"06001"	"4334.00"	"06"	"68084"	"CA"	"Alameda CA"	"San Leandro city, CA"	6305	1 
"06001"	"4335.00"	"06"	"68084"	"CA"	"Alameda CA"	"San Leandro city, CA"	4352	1 
"06001"	"4336.00"	"06"	"68084"	"CA"	"Alameda CA"	"San Leandro city, CA"	5978	1 
"06001"	"4337.00"	"06"	"02980"	"CA"	"Alameda CA"	"Ashland CDP, CA"	3182	1 
"06001"	"4338.00"	"06"	"02980"	"CA"	"Alameda CA"	"Ashland CDP, CA"	7260	0.985 
"06001"	"4338.00"	"06"	"68084"	"CA"	"Alameda CA"	"San Leandro city, CA"	109	0.015 
"06001"	"4339.00"	"06"	"02980"	"CA"	"Alameda CA"	"Ashland CDP, CA"	6599	1 
"06001"	"4340.00"	"06"	"02980"	"CA"	"Alameda CA"	"Ashland CDP, CA"	4884	1 
"06001"	"4351.02"	"06"	"33000"	"CA"	"Alameda CA"	"Hayward city, CA"	5179	1 
"06001"	"4351.03"	"06"	"11964"	"CA"	"Alameda CA"	"Castro Valley CDP, CA"	3485	0.544 
"06001"	"4351.03"	"06"	"23350"	"CA"	"Alameda CA"	"Fairview CDP, CA"	91	0.014 
"06001"	"4351.03"	"06"	"33000"	"CA"	"Alameda CA"	"Hayward city, CA"	2317	0.362 
"06001"	"4351.03"	"06"	"77042"	"CA"	"Alameda CA"	"Sunol CDP, CA"	10	0.002 
"06001"	"4351.03"	"06"	"99999"	"CA"	"Alameda CA"	" "	500	0.078 
"06001"	"4351.04"	"06"	"33000"	"CA"	"Alameda CA"	"Hayward city, CA"	5216	1 
"06001"	"4352.00"	"06"	"23350"	"CA"	"Alameda CA"	"Fairview CDP, CA"	3733	0.902 
"06001"	"4352.00"	"06"	"33000"	"CA"	"Alameda CA"	"Hayward city, CA"	407	0.098 
"06001"	"4353.00"	"06"	"23350"	"CA"	"Alameda CA"	"Fairview CDP, CA"	1284	0.287 
"06001"	"4353.00"	"06"	"33000"	"CA"	"Alameda CA"	"Hayward city, CA"	3195	0.713 
"06001"	"4354.00"	"06"	"33000"	"CA"	"Alameda CA"	"Hayward city, CA"	4503	1 
"06001"	"4355.00"	"06"	"12902"	"CA"	"Alameda CA"	"Cherryland CDP, CA"	1708	0.459 
"06001"	"4355.00"	"06"	"33000"	"CA"	"Alameda CA"	"Hayward city, CA"	2017	0.541 
"06001"	"4356.01"	"06"	"12902"	"CA"	"Alameda CA"	"Cherryland CDP, CA"	4902	1 
"06001"	"4356.02"	"06"	"12902"	"CA"	"Alameda CA"	"Cherryland CDP, CA"	5329	1 
"06001"	"4357.00"	"06"	"12902"	"CA"	"Alameda CA"	"Cherryland CDP, CA"	1415	0.308 
"06001"	"4357.00"	"06"	"68112"	"CA"	"Alameda CA"	"San Lorenzo CDP, CA"	3179	0.692 
"06001"	"4358.00"	"06"	"68112"	"CA"	"Alameda CA"	"San Lorenzo CDP, CA"	5382	1 
"06001"	"4359.00"	"06"	"68112"	"CA"	"Alameda CA"	"San Lorenzo CDP, CA"	5073	1 
"06001"	"4360.00"	"06"	"68112"	"CA"	"Alameda CA"	"San Lorenzo CDP, CA"	4557	1 
"06001"	"4361.00"	"06"	"68112"	"CA"	"Alameda CA"	"San Lorenzo CDP, CA"	5261	1 
"06001"	"4362.00"	"06"	"33000"	"CA"	"Alameda CA"	"Hayward city, CA"	12	0.003 
"06001"	"4362.00"	"06"	"99999"	"CA"	"Alameda CA"	" "	3815	0.997 
"06001"	"4363.00"	"06"	"12902"	"CA"	"Alameda CA"	"Cherryland CDP, CA"	1374	0.193 
"06001"	"4363.00"	"06"	"33000"	"CA"	"Alameda CA"	"Hayward city, CA"	5755	0.807 
"06001"	"4364.01"	"06"	"23350"	"CA"	"Alameda CA"	"Fairview CDP, CA"	3296	0.468 
"06001"	"4364.01"	"06"	"33000"	"CA"	"Alameda CA"	"Hayward city, CA"	3746	0.532 
"06001"	"4364.02"	"06"	"23350"	"CA"	"Alameda CA"	"Fairview CDP, CA"	1599	0.611 
"06001"	"4364.02"	"06"	"33000"	"CA"	"Alameda CA"	"Hayward city, CA"	1019	0.389 
"06001"	"4365.00"	"06"	"33000"	"CA"	"Alameda CA"	"Hayward city, CA"	4583	1 
"06001"	"4366.01"	"06"	"33000"	"CA"	"Alameda CA"	"Hayward city, CA"	6091	1 
"06001"	"4366.02"	"06"	"33000"	"CA"	"Alameda CA"	"Hayward city, CA"	4571	1 
"06001"	"4367.00"	"06"	"33000"	"CA"	"Alameda CA"	"Hayward city, CA"	3284	1 
"06001"	"4368.00"	"06"	"33000"	"CA"	"Alameda CA"	"Hayward city, CA"	4027	1 
"06001"	"4369.00"	"06"	"33000"	"CA"	"Alameda CA"	"Hayward city, CA"	6724	1 
